"genesysId","instCode","name","aliasType","lang","version"
"39443",,"BYU 546","ACCENAME",,"0"
"39443",,"100105-22","OTHERNUMB",,"0"
"39443","USA126","Ames 28055","OTHERNUMB",,"0"
"117783",,"PIGWEED","ACCENAME",,"0"
"117783","USA126","NSL 179249","OTHERNUMB",,"0"
"117783",,"PIGWEED","OTHERNUMB",,"0"
"133739",,"Chenopo","ACCENAME",,"0"
"133739","USA126","Ames 21983","OTHERNUMB",,"0"
"133739",,"Chenopo","OTHERNUMB",,"0"
"294198",,"Index Seminum 37","ACCENAME",,"0"
"294198","USA126","Ames 24587","OTHERNUMB",,"0"
"310187",,"DB 2006183","ACCENAME",,"0"
"310187","USA126","Ames 28345","OTHERNUMB",,"0"
"389256",,"Index Seminum 37","ACCENAME",,"0"
"389256","USA126","Ames 23855","OTHERNUMB",,"0"
"2861911",,"RBG 97207610346","OTHERNUMB",,"0"
"2862002",,"RBG 96827510227","OTHERNUMB",,"1"
"2862002",,"267/74/75","COLLNUMB",,"0"
"2862003",,"RBG 97107610207","OTHERNUMB",,"1"
"2862003",,"77","COLLNUMB",,"0"
"2862004",,"RBG 97207610348","OTHERNUMB",,"1"
"2862089",,"RBG 96598210047","OTHERNUMB",,"1"
"2862089",,"3/1","COLLNUMB",,"0"
"2862090",,"RBG 97107610207","OTHERNUMB",,"1"
"2862090",,"77","COLLNUMB",,"0"
"2862091",,"RBG 97207610348","OTHERNUMB",,"1"
"2862093",,"RBG 97417610652","OTHERNUMB",,"1"
"2862093",,"423","COLLNUMB",,"0"
"3173224","DEU001","52795","DONORNUMB",,"0"
"3173224","DEU146","D 10193","OTHERNUMB",,"0"
"3173224","DEU001","52795","OTHERNUMB",,"0"
"3173224","GBR004","97207610348","OTHERNUMB",,"0"
"3173225","DEU001","33119","DONORNUMB",,"0"
"3173225","DEU146","D 9491","OTHERNUMB",,"0"
"3173225","DEU001","33119","OTHERNUMB",,"0"
"3532188",,"Dactilo","ACCENAME",,"0"
"3536962",,"Cenizo","ACCENAME",,"0"
"3536962",,"084_CL03","COLLNUMB",,"0"
"3763606",,"CHEN 63/80 (D 1885)","DONORNUMB",,"1"
"3789071",,"2334","COLLNUMB",,"0"
"3794326",,"2224","COLLNUMB",,"0"
"3796870",,"SCSB-SHI-2006232","COLLNUMB",,"0"
"3810373",,"LEB-216","COLLNUMB",,"0"
"3813098",,"JIC 23213","COLLNUMB",,"0"
"3813266",,"LEB-110","COLLNUMB",,"0"
"3816291",,"NONE","COLLNUMB",,"0"
"3816308",,"NONE","COLLNUMB",,"0"
"3816651",,"PSW1","COLLNUMB",,"0"
"3817157",,"NONE","COLLNUMB",,"0"
"3818386",,"MSABMT 480","COLLNUMB",,"0"
"3818873",,"MSDA 286","COLLNUMB",,"0"
"3819324",,"WSSB8","COLLNUMB",,"0"
"3820776",,"13","COLLNUMB",,"0"
"3820966",,"HDVP407","COLLNUMB",,"0"
"3821414",,"HDVP219","COLLNUMB",,"0"
"3822285",,"24","COLLNUMB",,"0"
"3824213",,"20200107","COLLNUMB",,"0"
"3824217",,"20200108","COLLNUMB",,"0"
"3824218",,"20200207","COLLNUMB",,"0"
"3824437",,"20200103","COLLNUMB",,"0"
"3825988",,"423","COLLNUMB",,"0"
"3826020",,"268/74/75","COLLNUMB",,"0"
"3826022",,"NONE","COLLNUMB",,"0"
"3826024",,"NONE","COLLNUMB",,"0"
"3826241",,"423","COLLNUMB",,"0"
"3826339",,"NONE","COLLNUMB",,"0"
"3826483",,"77","COLLNUMB",,"0"
"3842964",,"POL97 073","ACCENAME",,"0"
"3842964",,"POL97 073","COLLNUMB",,"0"
"3844012",,"POL97 062","ACCENAME",,"0"
"3844012",,"POL97 062","COLLNUMB",,"0"
"3941991",,"VESTBY SS0507","ACCENAME",,"0"
"4001199",,"KOLLERUM BL0710230104","ACCENAME",,"0"
"4001229",,"HÃ˜EGHOLM BL071023","ACCENAME",,"0"
"4034307","DEU146","D 12095","OTHERNUMB",,"0"
"4034307","DEU001","33133","OTHERNUMB",,"0"
"4034307","DEU001","33133","DONORNUMB",,"0"
"4034324","DEU146","D 12093","OTHERNUMB",,"0"
"4034324","DEU001","33117","OTHERNUMB",,"0"
"4034324","DEU001","33117","DONORNUMB",,"0"
"4034335","DEU146","D 12092","OTHERNUMB",,"0"
"4034335","DEU001","33132","OTHERNUMB",,"0"
"4034335","DEU001","33132","DONORNUMB",,"0"
"4034337","DEU146","D 12094","OTHERNUMB",,"0"
"4034337","DEU001","52797","OTHERNUMB",,"0"
"4034337","DEU001","52797","DONORNUMB",,"0"
"4034337","GBR004","97107610207","OTHERNUMB",,"0"
"4335976",,"BYU 546","ACCENAME",,"0"
"4335976",,"BYU 546","OTHERNUMB",,"0"
"4335976",,"100105-22","OTHERNUMB",,"0"
"4335976","USA126","Ames 28055","OTHERNUMB",,"0"
"4335976",,"BYU 546","COLLNUMB",,"0"
"4351167",,"W0002-1","ACCENAME",,"0"
"4351167",,"W0002-1","OTHERNUMB",,"0"
"4351167","USA126","Ames 29959","OTHERNUMB",,"0"
"4351167",,"W0002-1","DONORNUMB",,"0"
"4373023",,"W0018A","ACCENAME",,"0"
"4373023",,"W0018A","OTHERNUMB",,"0"
"4373023","USA126","Ames 29960","OTHERNUMB",,"0"
"4373023",,"W0018A","DONORNUMB",,"0"
"4376494",,"DB 2006183","ACCENAME",,"0"
"4376494",,"DB 2006183","OTHERNUMB",,"0"
"4376494","USA126","Ames 28345","OTHERNUMB",,"0"
"4376494",,"DB 2006183","COLLNUMB",,"0"
"4400993",,"W0020A","ACCENAME",,"0"
"4400993",,"W0020A","OTHERNUMB",,"0"
"4400993","USA126","Ames 29961","OTHERNUMB",,"0"
"4400993",,"W0020A","DONORNUMB",,"0"
"4409247",,"DB 2007102","ACCENAME",,"0"
"4409247",,"DB 2007102","OTHERNUMB",,"0"
"4409247","USA126","Ames 29206","OTHERNUMB",,"0"
"4409247",,"DB 2007102","COLLNUMB",,"0"
"4415495",,"Index Seminum 37","ACCENAME",,"0"
"4415495",,"Index Seminum 37","OTHERNUMB",,"0"
"4415495","USA126","Ames 24587","OTHERNUMB",,"0"
"4425366",,"Index Seminum 37","ACCENAME",,"0"
"4425366",,"Index Seminum 37","OTHERNUMB",,"0"
"4425366","USA126","Ames 23855","OTHERNUMB",,"0"
"4531625",,"940 160","COLLNUMB",,"0"
"4536020",,"Zhyz-272","COLLNUMB",,"0"
"4536088",,"392PV","COLLNUMB",,"0"
"4538817",,"BLCKg-662","COLLNUMB",,"0"
"4667943",,"SA 39589","ACCENAME",,"0"
"4667943",,"44895","DONORNUMB",,"0"
"4667943",,"44895","OTHERNUMB",,"0"
"4667943",,"SA 39589","OTHERNUMB",,"0"
"4667952",,"SA 39590","ACCENAME",,"0"
"4667952",,"90548","DONORNUMB",,"0"
"4667952",,"90548","OTHERNUMB",,"0"
"4667952",,"SA 39590","OTHERNUMB",,"0"
"4692984",,"PI 433379","ACCENAME",,"0"
"4692984",,"Tas 1411","DONORNUMB",,"0"
"4692984",,"Tas 1411","OTHERNUMB",,"0"
"4692984",,"PI 433379","OTHERNUMB",,"0"
"4692984",,"TRC 260032","OTHERNUMB",,"0"
"4878627","AZE015","AG-1381","OTHERNUMB",,"0"
"4878627","AZE015","IAF-158","OTHERNUMB",,"0"
"4878627",,"IAF-158","COLLNUMB",,"0"
"4878656","AZE015","AG-951","OTHERNUMB",,"0"
"4878656","AZE015","NB-21","OTHERNUMB",,"0"
"4878656",,"NB-21","COLLNUMB",,"0"
"4878660","AZE015","AG-1379","OTHERNUMB",,"0"
"4878660","AZE015","IAF-156","OTHERNUMB",,"0"
"4878660",,"IAF-156","COLLNUMB",,"0"
"4893003","GBR004","96827510211","OTHERNUMB",,"0"
"4893003","DEU001","52796","OTHERNUMB",,"0"
"4893003","DEU146","D 12096","OTHERNUMB",,"0"
"4893003","DEU001","52796","DONORNUMB",,"0"
"4916179",,"Cenizo","ACCENAME",,"0"
"4916179",,"Z-93-005","COLLNUMB",,"0"
"5735183","GBR004","90006910255","OTHERNUMB",,"0"
"5735183","DEU001","52812","OTHERNUMB",,"0"
"5735183","DEU146","D 12106","OTHERNUMB",,"0"
"5735183","DEU001","52812","DONORNUMB",,"0"
"5808334",,"Dikorastushchiy","ACCENAME",,"0"
"6319352",,"Chal0102010616","COLLNUMB",,"0"
"6320385",,"Chal0101220616","COLLNUMB",,"0"
"6320708",,"Chal0201160715","COLLNUMB",,"0"
"6320830",,"Chal0401080715","COLLNUMB",,"0"
"6320831",,"Chal0202050616","COLLNUMB",,"0"
"6320832",,"Chal0303290716","COLLNUMB",,"0"
"6320833",,"Chal0101030816","COLLNUMB",,"0"
"6320850",,"Chal0201050816","COLLNUMB",,"0"
"6322057",,"Chal0604070816","COLLNUMB",,"0"
"6390468",,"AZ08","COLLNUMB",,"0"
"6418569",,"MSDA286","COLLNUMB",,"0"
"6558681",,"Chal0604070816","COLLNUMB",,"0"
"6558682",,"Chal0101030816","COLLNUMB",,"0"
"6558683",,"Chal0303290716","COLLNUMB",,"0"
"6558775",,"Chal0201050816","COLLNUMB",,"0"
"6558776",,"Chal0101220616","COLLNUMB",,"0"
"6558777",,"Chal0202050616","COLLNUMB",,"0"
"6558778",,"Chal0102010616","COLLNUMB",,"0"
"6558779",,"Chal0201160715","COLLNUMB",,"0"
"6558780",,"Chal0401080715","COLLNUMB",,"0"
